imdb_code,name,year,world_collection,int_collection,dom_collection,url
tt2823054,Mike and Dave Need Wedding Dates,2016,77068246,31058573.0,46009673.0,https://www.boxofficemojo.com/title/tt2823054/?ref_=bo_gr_ti
tt4302938,Kubo and the Two Strings,2016,76249438,28226350.0,48023088.0,https://www.boxofficemojo.com/title/tt4302938/?ref_=bo_gr_ti
tt5290524,Quo vado?,2016,75878701,75878701.0,,https://www.boxofficemojo.com/title/tt5290524/?ref_=bo_gr_ti
tt5325452,Boo! A Madea Halloween,2016,74827344,1621001.0,73206343.0,https://www.boxofficemojo.com/title/tt5325452/?ref_=bo_gr_ti
tt4257926,Miracles from Heaven,2016,73983003,12277880.0,61705123.0,https://www.boxofficemojo.com/title/tt4257926/?ref_=bo_gr_ti
tt5918090,I Am Not Madame Bovary,2016,70826207,70389409.0,436798.0,https://www.boxofficemojo.com/title/tt5918090/?ref_=bo_gr_ti
tt3824950,Bai du ren,2016,70065569,70065569.0,,https://www.boxofficemojo.com/title/tt3824950/?ref_=bo_gr_ti
tt5251328,One Piece Film: Gold,2016,66207073,65783480.0,423593.0,https://www.boxofficemojo.com/title/tt5251328/?ref_=bo_gr_ti
tt4975722,Moonlight,2016,65336603,37481671.0,27854932.0,https://www.boxofficemojo.com/title/tt4975722/?ref_=bo_gr_ti
tt3095734,Monster Trucks,2016,64493915,31123749.0,33370166.0,https://www.boxofficemojo.com/title/tt3095734/?ref_=bo_gr_ti
tt2671706,Fences,2016,64414761,6731857.0,57682904.0,https://www.boxofficemojo.com/title/tt2671706/?ref_=bo_gr_ti
tt0475290,"Hail, Caesar!",2016,63647656,33149571.0,30498085.0,https://www.boxofficemojo.com/title/tt0475290/?ref_=bo_gr_ti
tt3799694,The Nice Guys,2016,62788218,26526455.0,36261763.0,https://www.boxofficemojo.com/title/tt3799694/?ref_=bo_gr_ti
tt5596352,Huo guo ying xiong,2016,58106427,57326609.0,779818.0,https://www.boxofficemojo.com/title/tt5596352/?ref_=bo_gr_ti
tt4819576,L.O.R.D: Legend of Ravaging Dynasties,2016,58089494,57739038.0,350456.0,https://www.boxofficemojo.com/title/tt4819576/?ref_=bo_gr_ti
tt4383594,Nine Lives,2016,57814445,38114413.0,19700032.0,https://www.boxofficemojo.com/title/tt4383594/?ref_=bo_gr_ti
tt1608290,Zoolander 2,2016,56722693,27874000.0,28848693.0,https://www.boxofficemojo.com/title/tt1608290/?ref_=bo_gr_ti
tt3628584,Barbershop: The Next Cut,2016,55030051,1000000.0,54030051.0,https://www.boxofficemojo.com/title/tt3628584/?ref_=bo_gr_ti
tt4914580,The Age of Shadows,2016,54491162,53949443.0,541719.0,https://www.boxofficemojo.com/title/tt4914580/?ref_=bo_gr_ti
tt4862468,A Chinese Odyssey: Part Three,2016,53306108,53306108.0,,https://www.boxofficemojo.com/title/tt4862468/?ref_=bo_gr_ti
tt5910280,Teo-neol,2016,52444295,51875419.0,568876.0,https://www.boxofficemojo.com/title/tt5910280/?ref_=bo_gr_ti
tt4572514,Patriots Day,2016,52185751,20299390.0,31886361.0,https://www.boxofficemojo.com/title/tt4572514/?ref_=bo_gr_ti
tt4076934,My Beloved Bodyguard,2016,52165873,52165873.0,,https://www.boxofficemojo.com/title/tt4076934/?ref_=bo_gr_ti
tt2025690,The Finest Hours,2016,52099090,24529532.0,27569558.0,https://www.boxofficemojo.com/title/tt2025690/?ref_=bo_gr_ti
tt5735464,Master,2016,51636415,51039164.0,597251.0,https://www.boxofficemojo.com/title/tt5735464/?ref_=bo_gr_ti
tt5544700,Doraemon the Movie: Nobita and the Birth of Japan,2016,50939840,50939840.0,,https://www.boxofficemojo.com/title/tt5544700/?ref_=bo_gr_ti
tt5215952,The Wailing,2016,49851770,49065137.0,786633.0,https://www.boxofficemojo.com/title/tt5215952/?ref_=bo_gr_ti
tt5078204,Demain tout commence,2016,49619118,49619118.0,,https://www.boxofficemojo.com/title/tt5078204/?ref_=bo_gr_ti
tt5011290,Never Gone,2016,48980792,48884371.0,96421.0,https://www.boxofficemojo.com/title/tt5011290/?ref_=bo_gr_ti
tt6175078,Luck-Key,2016,48913975,48447470.0,466505.0,https://www.boxofficemojo.com/title/tt6175078/?ref_=bo_gr_ti
tt4136084,Florence Foster Jenkins,2016,49052787,21669017.0,27383770.0,https://www.boxofficemojo.com/title/tt4136084/?ref_=bo_gr_ti
tt4824302,Mother's Day,2016,48782670,16289811.0,32492859.0,https://www.boxofficemojo.com/title/tt4824302/?ref_=bo_gr_ti
tt3416532,A Monster Calls,2016,47309313,43568490.0,3740823.0,https://www.boxofficemojo.com/title/tt3416532/?ref_=bo_gr_ti
tt3231054,Risen,2016,46432579,9552546.0,36880033.0,https://www.boxofficemojo.com/title/tt3231054/?ref_=bo_gr_ti
